Location,Month,Avg Temp (°C),Avg High (°C),Avg Low (°C),Daylight (h/day),Cloud Cover (%),Rainfall (mm),Source
"Kandy, Sri Lanka",Dec,22.8,27.2,18.9,11.7,71,152,https://weatherspark.com/y/110087/Average-Weather-in-Kandy-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Jan,27.2,31.1,23.3,11.8,61,56,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Feb,27.8,31.7,23.9,11.9,57,43,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Mar,28.3,32.2,25.0,12.1,59,66,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Apr,28.9,32.2,25.6,12.3,75,137,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",May,28.9,31.7,26.7,12.4,84,152,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Jun,28.3,30.6,26.7,12.5,87,102,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Jul,28.3,30.0,26.7,12.5,87,58,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Aug,28.3,30.0,26.1,12.3,86,61,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Sep,27.8,30.0,26.1,12.1,81,104,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Oct,27.8,30.6,25.0,12.0,80,206,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Nov,27.2,30.6,24.4,11.8,77,221,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Colombo, Sri Lanka",Dec,26.7,30.6,23.9,11.7,69,117,https://weatherspark.com/y/109720/Average-Weather-in-Colombo-Sri-Lanka-Year-Round
"Goa, India",Jan,26.7,30.6,23.3,11.3,32,0,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Feb,27.2,30.6,23.9,11.6,28,3,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Mar,28.3,31.7,25.0,12.1,31,5,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
"Goa, India",Apr,28.9,32.2,26.1,12.5,45,13,https://weatherspark.com/y/107537/Average-Weather-in-Goa-Velha-Goa-India-Year-Round
